MISSION CANYON ON WILLIAMS WAY

p_57827.0	18.047	0.180	0.024	0.025	24.707	0.251	71.563	0.716	27.000	0.078	9.000	0.201	8.401	0.147	0.699
p_57966.0	17.992	0.180	0.200	0.198	25.073	0.254	71.474	0.715	34.000	0.098	7.160	0.160	8.401	0.147	0.698
p_57875	18.644	0.355	0.357	0.356	24.430	0.248	70.855	0.709	25.000	0.072	7.950	0.178	8.401	0.853	0.698
p_57896.0	17.754	0.178	0.165	0.164	27.848	0.282	71.346	0.713	19.000	0.055	9.740	0.218	8.401	0.147	0.698
p_57826.0	17.279	0.173	0.000	0.000	25.052	0.254	71.477	0.715	30.000	0.086	5.610	0.125	8.401	0.147	0.698
p_57898	18.475	0.357	0.341	0.343	26.628	0.270	70.468	0.705	25.000	0.072	12.810	0.287	8.401	0.853	0.696
p_57900.0	18.535	0.185	0.318	0.317	24.391	0.247	70.610	0.706	43.000	0.124	17.440	0.391	8.401	0.147	0.693
p_57919.0	18.215	0.182	0.490	0.491	28.259	0.287	70.100	0.701	16.000	0.046	27.870	0.625	8.401	0.147	0.691
p_57917	19.218	0.349	0.212	0.213	24.153	0.245	70.152	0.702	20.000	0.058	8.150	0.182	8.401	0.853	0.691
p_57897.0	17.685	0.177	0.004	0.004	23.774	0.241	70.616	0.706	42.000	0.121	10.920	0.244	8.401	0.147	0.691
p_57828.0	17.424	0.174	0.000	0.000	24.598	0.249	70.640	0.706	27.000	0.078	5.420	0.121	8.401	0.147	0.689
p_57891.0	18.198	0.182	0.518	0.519	25.738	0.261	70.123	0.701	30.000	0.086	9.860	0.221	8.401	0.147	0.686
p_57873.0	17.311	0.173	0.000	0.000	24.657	0.250	70.274	0.703	37.000	0.107	4.430	0.099	8.401	0.147	0.686
p_57909.0	17.987	0.180	0.067	0.066	23.191	0.235	70.082	0.701	44.000	0.127	8.000	0.179	8.401	0.147	0.685
p_57892.0	18.401	0.184	0.553	



